ngram,phish_count,clean_count,phish_freq,clean_freq,phish_score
language,65,16871,2.86E-05,0.002541401,-4.452738815
university,117,17237,5.15E-05,0.002596534,-3.901529396
english,52,6650,2.29E-05,0.001001738,-3.737099871
conference,122,8032,5.37E-05,0.001209918,-3.097279684
hou,82,5280,3.61E-05,0.000795365,-3.066625976
1998,109,5604,4.80E-05,0.000844171,-2.848179631
discussion,50,2531,2.20E-05,0.000381263,-2.810266813
session,50,2495,2.20E-05,0.00037584,-2.795978806
submission,56,2059,2.46E-05,0.000310162,-2.495811224
students,54,1981,2.38E-05,0.000298412,-2.492243782
committee,64,2329,2.82E-05,0.000350834,-2.490011163
analysis,84,2912,3.70E-05,0.000438656,-2.449105152
spanish,51,1520,2.24E-05,0.000228969,-2.283151094
studies,80,2272,3.52E-05,0.000342248,-2.249040343
french,59,1658,2.60E-05,0.000249757,-2.229778476
meeting,97,2614,4.27E-05,0.000393766,-2.20104729
seems,55,1497,2.42E-05,0.000225504,-2.19556956
2001,196,5187,8.63E-05,0.000781355,-2.193287057
john,143,3752,6.29E-05,0.000565191,-2.180941492
science,91,2406,4.01E-05,0.000362433,-2.180693926
1999,92,2431,4.05E-05,0.000366199,-2.18033843
div,208,5391,9.16E-05,0.000812085,-2.173051955
jones,58,1522,2.55E-05,0.00022927,-2.161003305
approach,56,1333,2.46E-05,0.000200799,-2.062771637
aspects,52,1188,2.29E-05,0.000178957,-2.019328848
student,60,1350,2.64E-05,0.00020336,-2.008991493
learning,75,1626,3.30E-05,0.000244936,-1.978358883
issues,126,2700,5.55E-05,0.000406721,-1.977047084
dow,53,1154,2.33E-05,0.000173835,-1.972197459
april,80,1711,3.52E-05,0.00025774,-1.966412605
dir,120,2472,5.28E-05,0.000372375,-1.936954017
role,62,1292,2.73E-05,0.000194623,-1.933685711
france,63,1281,2.77E-05,0.000192966,-1.909740124
formal,51,1032,2.24E-05,0.000155458,-1.897993545
copies,67,1336,2.95E-05,0.000201251,-1.892089195
author,87,1706,3.83E-05,0.000256987,-1.881840235
1994,59,1158,2.60E-05,0.000174438,-1.872581222
ac,144,2763,6.34E-05,0.000416211,-1.868741445
august,121,2303,5.33E-05,0.000346918,-1.858190386
applied,57,1100,2.51E-05,0.000165701,-1.854683528
nl,52,1004,2.29E-05,0.00015124,-1.852067523
september,109,2040,4.80E-05,0.0003073,-1.839713784
topic,74,1392,3.26E-05,0.000209687,-1.836686508
1995,131,2435,5.77E-05,0.000366802,-1.835769782
presentation,73,1368,3.21E-05,0.000206072,-1.832575727
paper,226,4100,9.95E-05,0.000617613,-1.817559214
study,99,1806,4.36E-05,0.000272051,-1.812466384
submitted,58,1067,2.55E-05,0.00016073,-1.807679173
germany,79,1403,3.48E-05,0.000211344,-1.781024799
society,72,1279,3.17E-05,0.000192665,-1.779014627
dept,51,891,2.24E-05,0.000134218,-1.752094966
james,61,1054,2.68E-05,0.000158772,-1.746921591
research,356,5962,0.000156697,0.000898099,-1.740718521
groups,59,1014,2.60E-05,0.000152746,-1.740598891
areas,86,1454,3.79E-05,0.000219027,-1.733943682
movement,53,877,2.33E-05,0.000132109,-1.699519929
written,77,1245,3.39E-05,0.000187543,-1.687061608
schedule,71,1137,3.13E-05,0.000171275,-1.675529492
room,70,1090,3.08E-05,0.000164195,-1.64730602
particular,91,1398,4.01E-05,0.000210591,-1.639752927
tuesday,82,1256,3.61E-05,0.0001892,-1.634646935
corp,163,2451,7.17E-05,0.000369212,-1.62710079
97,79,1197,3.48E-05,0.000180313,-1.623040559
david,140,2088,6.16E-05,0.000314531,-1.617132822
mark,119,1773,5.24E-05,0.00026708,-1.613866969
steve,57,863,2.51E-05,0.00013,-1.613678806
journal,99,1479,4.36E-05,0.000222792,-1.613527507
professor,79,1162,3.48E-05,0.00017504,-1.593530901
rather,96,1402,4.23E-05,0.000211193,-1.590377346
1997,84,1219,3.70E-05,0.000183627,-1.581449827
between,274,3877,0.000120604,0.000584021,-1.570878813
capacity,59,814,2.60E-05,0.000122619,-1.522497888
paris,72,970,3.17E-05,0.000146118,-1.504120431
model,94,1257,4.14E-05,0.000189351,-1.502310613
mary,54,728,2.38E-05,0.000109664,-1.496919764
russian,57,766,2.51E-05,0.000115388,-1.495412474
october,124,1635,5.46E-05,0.000246292,-1.492749156
martin,58,767,2.55E-05,0.000115539,-1.479975244
models,71,923,3.13E-05,0.000139038,-1.468355161
michael,112,1441,4.93E-05,0.000217068,-1.466844753
relevant,76,984,3.35E-05,0.000148227,-1.465897565
texas,102,1313,4.49E-05,0.000197787,-1.465847762
2000,346,4387,0.000152295,0.000660846,-1.462666072
amsterdam,61,787,2.68E-05,0.000118552,-1.456923284
sense,77,986,3.39E-05,0.000148528,-1.455219378
february,92,1173,4.05E-05,0.000176697,-1.454516708
london,123,1543,5.41E-05,0.000232433,-1.443026947
break,123,1536,5.41E-05,0.000231379,-1.438499531
george,57,715,2.51E-05,0.000107706,-1.427125511
concerns,54,678,2.38E-05,0.000102132,-1.42643218
cases,71,884,3.13E-05,0.000133163,-1.425497979
paul,96,1187,4.23E-05,0.000178806,-1.424759912
interesting,76,943,3.35E-05,0.000142051,-1.423629265
november,102,1250,4.49E-05,0.000188297,-1.416930224
articles,60,734,2.64E-05,0.000110568,-1.403738896
lee,50,615,2.20E-05,9.26E-05,-1.403636302
native,78,947,3.43E-05,0.000142653,-1.402601589
description,75,909,3.30E-05,0.000136929,-1.400027805
summer,99,1192,4.36E-05,0.00017956,-1.398869185
machine,107,1274,4.71E-05,0.000191912,-1.389011348
robert,121,1435,5.33E-05,0.000216164,-1.386879672
recognition,52,625,2.29E-05,9.41E-05,-1.382047151
focus,119,1401,5.24E-05,0.000211043,-1.379370187
uk,317,3684,0.000139531,0.000554948,-1.375248255
rating,59,698,2.60E-05,0.000105145,-1.370100091
said,467,5363,0.000205555,0.000807867,-1.365070115
california,168,1939,7.39E-05,0.000292086,-1.363685483
chairman,60,695,2.64E-05,0.000104693,-1.349644555
berlin,53,616,2.33E-05,9.28E-05,-1.349437963
book,322,3642,0.000141731,0.000548621,-1.34826359
likely,69,794,3.04E-05,0.000119606,-1.346643926
phrase,62,704,2.73E-05,0.000106049,-1.330777864
word,264,2921,0.000116202,0.000440011,-1.325170022
southern,51,578,2.24E-05,8.71E-05,-1.323321227
discuss,116,1287,5.11E-05,0.00019387,-1.319964419
smith,66,727,2.91E-05,0.000109513,-1.302254666
construction,75,818,3.30E-05,0.000123221,-1.295351273
attached,138,1488,6.07E-05,0.000224148,-1.293793535
