ngram,phish_count,clean_count,phish_freq,clean_freq,phish_score
message from,50.0,1567.0,5.12692734016035e-05,0.0005570971222573988,-2.3681243097006486
department of,70.0,2064.0,7.17769827622449e-05,0.0007337897002803261,-2.3121846018427092
original message,54.0,1472.0,5.537081527373178e-05,0.0005233228870216279,-2.230156126266088
e g,64.0,1530.0,6.562466995405247e-05,0.0005439429464287301,-2.1016061750430586
i think,79.0,1549.0,8.100545197453353e-05,0.0005506977934758843,-1.9062146882220805
be sent,69.0,1203.0,7.075159729421283e-05,0.00042768847356455055,-1.7875203699603217
also be,61.0,843.0,6.254851354995626e-05,0.0002997018979342611,-1.5543157945774384
to discuss,52.0,670.0,5.3320044337667636e-05,0.00023819723797859424,-1.4823951756164768
the netherlands,61.0,685.0,6.254851354995626e-05,0.00024353001196318963,-1.3475344425803564
the two,60.0,668.0,6.15231280819242e-05,0.00023748620144731485,-1.3387749154861008
the other,113.0,1220.0,0.00011586855788762391,0.00043373228408042535,-1.3136805363212334
would be,277.0,2942.0,0.00028403177464488336,0.0010459347375119765,-1.3010212120472735
for example,83.0,885.0,8.510699384666181e-05,0.0003146336650911282,-1.2989916159264205
the state,57.0,610.0,5.8446971677827984e-05,0.00021686614204021267,-1.2987961639960883
might be,82.0,871.0,8.408160837862974e-05,0.0003096564093721725,-1.2950766139674563
it would,98.0,1032.0,0.00010048777586714286,0.00036689485014016306,-1.2878588076021011
should be,343.0,3575.0,0.000351707215535,0.0012709777996619022,-1.2826899956235633
if there,59.0,621.0,6.0497742613892126e-05,0.0002207768429622493,-1.2826711957525865
group ilug,57.0,595.0,5.8446971677827984e-05,0.00021153336805561728,-1.2740143193187023
ilug for,57.0,594.0,5.8446971677827984e-05,0.0002111778497899776,-1.2723401542213868
the second,88.0,911.0,9.023392118682215e-05,0.0003238771399977602,-1.270020309317311
please let,87.0,878.0,8.920853571879009e-05,0.0003121450372316504,-1.244542407330686
is also,70.0,701.0,7.17769827622449e-05,0.00024921830421342474,-1.2349340193220928
i dont,78.0,773.0,7.998006650650145e-05,0.0002748156193394826,-1.2255295647292577
as in,54.0,529.0,5.537081527373178e-05,0.00018806916252339754,-1.210161322507491
in which,105.0,970.0,0.00010766547414336734,0.0003448527176705021,-1.1577388944637774
version of,77.0,712.0,7.895468103846938e-05,0.00025312900513546133,-1.1563820451776596
work in,50.0,462.0,5.12692734016035e-05,0.00016424943872553812,-1.151047390449148
new york,209.0,1890.0,0.00021430556281870262,0.0006719295220590196,-1.1395823605494766
working on,54.0,484.0,5.537081527373178e-05,0.00017207084056961136,-1.1217494288538679
and their,67.0,594.0,6.870082635814869e-05,0.0002111778497899776,-1.1132126634601978
it may,52.0,462.0,5.3320044337667636e-05,0.00016424943872553812,-1.112562782727758
contact the,56.0,491.0,5.742158620979592e-05,0.0001745594684290892,-1.1002923885374745
